pid,Academic_performance,Chinese_score,Math_score,Province,P_StopTV,P_Discuss,P_Supervising,P_Check_homework,C_Work_hard,C_Check_homwork,C_Self_discipline,C_Focus,Extra_tutorial_fee,Household_income_total,F_Edu_level,M_Edu_level,Household_type_Urban,Gender_Male,Edu_level_Junior,Edu_level_Primary,Keyschool_Yes,Keyclass_Yes,C_Attend_extra_tourial_or_not_Yes
440965401,7,4,4,广东省,5,5,5,3,4,3,3,3,8,6,6,6,1,0,0,1,1,0,1
440975103,5,3,3,广东省,2,4,5,3,4,4,4,4,7,6,4,4,1,0,0,1,1,0,0
440986103,5,3,3,广东省,3,4,4,4,4,4,5,5,8,6,5,5,1,1,1,0,0,0,0
440991103,5,3,3,广东省,4,3,4,4,4,2,4,4,6,5,4,5,1,1,0,1,0,0,0
440997103,3,2,2,广东省,3,4,5,5,4,4,5,4,6,5,4,4,1,0,0,1,0,0,1
441016103,5,4,2,广东省,3,4,4,4,5,3,5,4,1,6,4,5,1,0,0,1,0,0,0
441061106,5,2,4,广东省,5,3,5,5,4,4,4,4,1,5,3,2,0,1,0,1,0,0,0
441063102,3,3,1,广东省,1,2,1,1,2,2,2,2,1,4,3,2,0,0,0,1,0,0,0
441063106,6,3,4,广东省,5,1,5,2,4,1,4,4,1,4,3,2,0,1,0,1,0,0,0
441067105,3,2,2,广东省,5,2,5,4,3,4,4,4,1,5,3,3,0,0,0,1,0,0,0
441067106,3,2,2,广东省,5,2,5,5,2,4,4,4,1,5,3,3,0,1,0,1,0,0,0
441070104,7,4,4,广东省,4,4,4,4,5,4,4,5,1,6,3,3,0,0,0,1,0,0,0
441072106,5,4,2,广东省,2,4,4,2,3,3,5,2,1,5,3,3,0,1,0,1,0,0,0
441072401,7,4,4,广东省,2,4,4,3,4,2,4,4,1,5,3,3,0,0,0,1,0,0,0
441086503,6,3,4,广东省,2,3,4,4,2,2,2,2,1,6,3,4,0,1,0,1,1,0,0
441087107,4,2,3,广东省,4,3,3,3,3,3,3,3,1,6,4,4,0,1,0,1,1,0,0
441088103,4,4,1,广东省,2,3,3,3,5,4,4,4,1,5,2,3,0,0,1,0,1,0,0
441088104,6,4,3,广东省,2,4,1,1,5,5,4,5,1,5,2,3,0,0,0,1,0,0,0
441088105,7,4,4,广东省,4,5,1,1,5,4,4,5,1,5,2,3,0,1,0,1,1,0,0
441090105,3,2,2,广东省,5,5,5,1,4,4,4,4,1,5,2,3,1,1,0,1,0,0,0
441096106,2,2,1,广东省,4,4,5,4,2,2,4,4,7,6,6,5,1,0,0,1,0,0,1
